"","interview__key","country","crop","lines_developed","varieties_developed","area","yield","yield_control","productivity_increase","agro_trait_ Disease resistance","agro_trait_ Drought tolerance","agro_trait_ Even  pod maturity","agro_trait_ Herbicide tolerance","agro_trait_ Iron toxicity tolerance","agro_trait_ Lodging resistance","agro_trait_ Maturity period/Duration","agro_trait_ Nutrient use efficiency","agro_trait_ Plant Height","agro_trait_ Salt tolerance","agro_trait_ Submergence tolerance","agro_trait_ Tillering capacity/ability","agro_trait_ Water use efficient","agro_trait_ Water-saving capacity","agro_trait_ Weed competitivenes","agro_trait_ Yield","agro_trait_ NA","qual_trait_Gluten free","qual_trait_Grain size","qual_trait_Grain shape","qual_trait_Grain color","qual_trait_Milling quality","qual_trait_Eating quality","qual_trait_High mineral content","qual_trait_High oil content","qual_trait_High seed protein content","qual_trait_NA","price_filter","increase_price","mkt_price_localCurrency","mkt_price_USD","confirm_mktPrice","additional_benefits","which_additional_benefits","env_trait_Reduction of pesticide use","env_trait_Reduction of chemical fertilizer","env_trait_Increase of water efficiency","env_trait_Increase soil fertility","env_trait_None","reduction_pesticide","reduction_fertilizer","increase_water","increase_soil"
"1","43-70-65-26","Laos","Mungbean","10","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","43-70-65-26","Laos","Rice","63","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","43-70-65-26","Laos","Soybean","20","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","93-45-81-76","Japan","Rice","43","43","180223","5","5","0","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","2","","170000","1360","1","1","Cake, cracker, bread  sake, etc","Yes","Yes","Yes","Yes","No","0.1","0.1","0.01","0.01"
"5","93-45-81-76","Japan","Soybean","17","17","13000","1.7","2","0","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","1","0.01","160000","1280","1","1","soy sauce, miso, tofu, etc","No","Yes","Yes","Yes","No","","0.01","0.01","0.01"
"6","09-37-07-04","Pakistan","Chickpea","55","15","13200000","1.5","1","55000","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","1","0.1","86700","561","1","1","Nutritional value","No","No","No","Yes","No","","","","0.05"
"7","09-37-07-04","Pakistan","Mungbean","88","12","2600000","1.3","1","1e+05","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","1","0.1","150000","971","1","1","nutritional value","No","No","No","Yes","No","","","","0.05"
"8","09-37-07-04","Pakistan","Rice","30","8","4e+05","5.5","4","2770000","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","1","0.05","40000","259","1","1","milling quality","No","No","Yes","No","No","","","0.1",""
"9","13-62-20-59","Nepal","Groundnut","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","13-62-20-59","Nepal","Rice","20","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","13-62-20-59","Nepal","Sugarcane","25","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","37-56-33-00","Bangladesh","Groundnut","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","37-56-33-00","Bangladesh","Rice","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","37-56-33-00","Bangladesh","Sugarcane","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","57-00-52-79","China","Wheat","5000","42","8e+06","6.5","5","33740000","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No","1","0.01","2400","336","1","2","","Yes","Yes","Yes","No","No","0.3","0.15","0.25",""
"16","03-83-22-28","Mongolia","Barley","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","03-83-22-28","Mongolia","Rice","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","03-83-22-28","Mongolia","Wheat","15","3","12000","1.6","1","120000","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","1","0.07","550000","200","1","1","wheat flour milling quality improved.","No","No","No","No","Yes","","","",""
"19","76-63-09-11","Myanmar","Mungbean","9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","76-63-09-11","Myanmar","Rice","26","5","1e+05","4.5","3","10","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","2","","1500000","1035","1","2","","No","Yes","No","No","No","","0.35","",""
"21","76-63-09-11","Myanmar","Sesame","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","58-14-92-91","Indonesia","Rice","200","25","1050000","7.5","5","2625000","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","No","Yes","No","1","0.1","1e+07","730","1","1","GOOD COOKING QUALITY","Yes","Yes","Yes","Yes","No","0.15","0.1","0.1","0.1"
"23","58-14-92-91","Indonesia","Sorghum","100","3","120000","6.1","4","240000","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","1","0.15","5e+06","365","1","1","GLUTEN FREE AND LOW GLYCAEMIC INDEX AS HEALTHY FOOD","Yes","Yes","Yes","Yes","No","0.15","0.15","0.15","0.2"
"24","58-14-92-91","Indonesia","Soybean","150","12","8e+05","2.4","1","1120000","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","1","0.1","5990000","437","1","1","BIGGER GRAIN SIZE, GOOD FOR TEMPE INDUSTRY","Yes","Yes","Yes","Yes","No","0.1","0.15","0.1","0.2"
"25","90-72-57-13","Thailand","Mungbean","40","4","1700000","1","1","90000","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","1","0.05","18000","2665","1","2","","No","No","No","Yes","No","","","","0.01"
"26","90-72-57-13","Thailand","Soybean","60","5","960000","1.7","1","300","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","1","0.05","17000","2517","1","2","","No","No","No","Yes","No","","","","0.01"
"27","13-65-83-98","Sri Lanka","Bean","16","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","13-65-83-98","Sri Lanka","Mungbean","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","13-65-83-98","Sri Lanka","Tomato","2","1","35","35","30","0","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","1","0.15","115000","633","1","1","The key attribute of this mutant variety is its easily identifiable pear shape (mutant trait) and resistance to Bacterial Wilt.  This mutant variety is preferred by the hotel industry due to its distinct shape.  However, owing to the very specific demand of this variety, present extents of cultivation has been limited.","Yes","No","No","No","No","0.05","","",""
"30","90-40-88-12","Cambodia","Banana","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","90-40-88-12","Cambodia","Maize","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","90-40-88-12","Cambodia","Rice","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","40-27-52-61","India","Blackgram","15","2","6e+05","1.5","1","3e+05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","40-27-52-61","India","Groundnut","20","2","10000","3","2","10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","40-27-52-61","India","Mungbean","30","3","4e+05","1.5","1","2e+05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","56-60-82-41","Vietnam","Rice","150","30","2234530","6.5","6","70000","Yes","No","No","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","No","1","0.4","1e+07","430","1","1","Mutant variety with higher iron content is better for health","Yes","No","No","No","No","0.2","","",""
"37","56-60-82-41","Vietnam","Soybean","100","6","156000","2","2","3800","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","No","1","0.1","1.8e+07","774","1","1","Soymilk","Yes","Yes","Yes","Yes","No","0.15","0.2","0.1","0.1"
"38","79-70-59-65","Palau","Banana","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","79-70-59-65","Palau","Groundnut","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","79-70-59-65","Palau","Pineapple","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","16-77-23-94","Malaysia","Banana","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","16-77-23-94","Malaysia","Pineapple","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","16-77-23-94","Malaysia","Rice","10","1","200","10","5","6000","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No","1","0.15","1200","292","1","2","","Yes","Yes","Yes","No","No","0.05","0.15","0.1",""
"44","95-49-93-34","Australia","Barley","80","1","1e+06","2.1","2","1500000","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","2","","380","255","1","2","","Yes","No","No","No","No","0.15","","",""
"45","95-49-93-34","Australia","Lupin","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","95-49-93-34","Australia","Oat","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","95-49-93-34","Australia","Wheat","50","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","03-67-88-92","Philippines","Adlai","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","03-67-88-92","Philippines","Banana","4","1","100","40","30","10","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","2","","30290","597","1","1","suckers can be used as planting materials so purchase of tissue cultured plants is lessened","Yes","No","No","No","No","0.85","","",""
"50","03-67-88-92","Philippines","Rice","29","6","146","3","3","0","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No","2","","16260","320","1","2","","Yes","No","No","No","No","0.5","","",""
"51","03-67-88-92","Philippines","Sugarcane","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","73-21-33-61","Korea","Bean","200","3","50","2","100","2","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","2","","1e+07","8440","","1","##N/A##","No","No","No","Yes","No","","","","0.05"
"53","73-21-33-61","Korea","Oat","50","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","73-21-33-61","Korea","Rice","400","4","10000","5","105","10","No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","Yes","No","1","0.1","3e+05","253","1","1","##N/A##","","","","","","","","",""
"55","73-21-33-61","Korea","Sorghum","50","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","73-21-33-61","Korea","Wheat","100","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
